Winery,Wine name,Wine type,Grapes,Vintage,Region,Country,Tasting notes,Price,Tasting summary,Aromas,url
Tenuta dei Sette Cieli,Yantra,Red wine,100% Cabernet Sauvignon,2022,Toscana,Italy,"Light - Bold: 50.4063%, Smooth - Tannic: 41.903285%, Dry - Sweet: 8.142455%, Soft - Acidic: 44.74498%",18.81,The taste profile of Tenuta dei Sette Cieli Yantra is based on 577 user reviews,"{'Black Fruit': ['blackberry', 'plum', 'dark fruit', 'cassis', 'black fruit', 'black cherry', 'blackcurrant', 'blueberry', 'bramble', 'black plum', 'ripe blackberry', 'berry jam'], 'Oak': ['oak', 'vanilla', 'tobacco', 'chocolate', 'cedar', 'baking spice', 'clove', 'cigar box', 'dark chocolate', 'coconut', 'coffee', 'cigar', 'nutmeg', 'mocha'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'cranberry', 'red cherry', 'sour cherry', 'pomegranate', 'ripe strawberry', 'red plum'], 'Earth': ['leather', 'earthy', 'smoke', 'mushroom', 'graphite', 'chalk', 'pencil shavings', 'new leather', 'minerals', 'grilled meat', 'stone', 'cocoa', 'underbrush', 'bacon fat'], 'Spices': ['pepper', 'cinnamon', 'licorice', 'savory', 'dried herbs', 'anise', 'mint', 'coriander', 'white pepper'], 'Dried Fruit': ['prune', 'raisin', 'dried fruit', 'black raisin', 'dried blueberry'], 'Microbio': ['cheese', 'cream', 'yeast'], 'Floral': ['violet', 'lily', 'perfume'], 'Vegetal': ['tomato', 'green bell pepper', 'tomato leaf'], 'Non Oak': ['toast']}",https://www.vivino.com/FR/en/tenuta-dei-sette-cieli-yantra/w/2357808?price_id=35523528&year=2022
Cantina La-Vis,Codros Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2018,Trentino,Italy,"Light - Bold: 52.494775%, Smooth - Tannic: 43.486402500000004%, Dry - Sweet: 19.400625%, Soft - Acidic: 40.279292500000004%",18.8,The taste profile of Cantina La-Vis Codros Cabernet Sauvignon is based on 15 user reviews,{},https://www.vivino.com/FR/en/la-vis-codros-cabernet-sauvignon/w/5762647?price_id=35478374&year=2018
Château Changyu Moser XV 张裕摩塞尔十五世酒庄,Cabernet Sauvignon赤霞珠,Red wine,100% Cabernet Sauvignon,2021,Ningxia,China,"Light - Bold: 65.18424%, Smooth - Tannic: 33.551024999999996%, Dry - Sweet: 25.773529999999994%, Soft - Acidic: 46.709465%",18.95,The taste profile of Château Changyu Moser XV 张裕摩塞尔十五世酒庄 Cabernet Sauvignon赤霞珠 is based on 251 user reviews,"{'Black Fruit': ['blackcurrant', 'plum', 'blackberry', 'black fruit', 'black cherry', 'jam', 'bramble', 'cassis', 'ripe blackberry', 'black plum'], 'Oak': ['oak', 'chocolate', 'vanilla', 'dark chocolate', 'tobacco', 'clove', 'cigar', 'camphor', 'coffee', 'caramel', 'cedar'], 'Red Fruit': ['cherry', 'red fruit', 'strawberry', 'raspberry', 'cranberry', 'red cherry', 'sour cherry', 'pomegranate', 'red plum'], 'Spices': ['pepper', 'licorice', 'cinnamon', 'anise', 'eucalyptus', 'green herbs', 'rosemary', 'menthol', 'star anise', 'bay leaf', 'bergamot', 'mint', 'dried herbs'], 'Earth': ['leather', 'smoke', 'earthy', 'tar', 'forest floor', 'underbrush', 'cocoa', 'stone', 'tobacco leaf', 'iron', 'charcoal', 'flint', 'graphite'], 'Vegetal': ['bell pepper', 'green bell pepper', 'straw', 'tomato', 'hay'], 'Non Oak': ['marzipan', 'brioche', 'walnut', 'toast'], 'Citrus Fruit': ['orange', 'citrus', 'pink grapefruit'], 'Microbio': ['cheese', 'oil', 'cream', 'banana'], 'Floral': ['violet', 'geranium'], 'Dried Fruit': ['fig', 'prune'], 'Tropical Fruit': ['lychee']}",https://www.vivino.com/FR/en/changyu-cabernet-sauvignonchi-xia-zhu/w/1182316?price_id=35062131&year=2021
Brash Higgins,CBSV Site Specific Cabernet Sauvignon (Single Vineyard),Red wine,100% Cabernet Sauvignon,2021,McLaren Vale,Australia,"Light - Bold: 68.103735%, Smooth - Tannic: 57.9134325%, Dry - Sweet: 13.888804999999998%, Soft - Acidic: 52.7552175%",20,The taste profile of Brash Higgins CBSV Site Specific Cabernet Sauvignon (Single Vineyard) is based on 43 user reviews,"{'Black Fruit': ['blackcurrant', 'cassis', 'dark fruit', 'black olive', 'black fruit', 'blueberry', 'blackberry', 'jam', 'black cherry', 'plum', 'bramble'], 'Spices': ['menthol', 'licorice', 'eucalyptus', 'mint', 'fennel seed', 'fennel', 'green peppercorn'], 'Oak': ['oak', 'cedar', 'chocolate'], 'Red Fruit': ['cherry', 'red fruit'], 'Earth': ['new leather', 'leather', 'chalk', 'graphite'], 'Vegetal': ['earl grey tea', 'bell pepper'], 'Floral': ['violet', 'perfume'], 'Tree Fruit': ['apricot', 'peach'], 'Dried Fruit': ['prune']}",https://www.vivino.com/FR/en/brash-higgins-cbsv-site-specific-cabernet-sauvignon-single-vineyard/w/2364986?price_id=36466034&year=2021
Feudi del Pisciotto,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2018,Terre Siciliane,Italy,"Light - Bold: 85%, Smooth - Tannic: 47.21059%, Dry - Sweet: 26.539085%, Soft - Acidic: 28.097294999999995%",20.2,The taste profile of Feudi del Pisciotto Cabernet Sauvignon is based on 176 user reviews,"{'Earth': ['earthy', 'leather', 'forest floor', 'tobacco leaf', 'minerals', 'barbecue meat', 'ash', 'balsamic', 'slate', 'stone', 'new leather', 'smoke', 'game', 'forest mushroom', 'mushroom'], 'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'espresso', 'cigar box', 'dark chocolate', 'nutmeg', 'milk chocolate', 'mocha', 'cola'], 'Black Fruit': ['blackberry', 'blackcurrant', 'plum', 'bramble', 'black fruit', 'dark fruit', 'black cherry', 'blueberry', 'boysenberry', 'black plum'], 'Spices': ['licorice', 'mint', 'bay leaf', 'cinnamon', 'black licorice', 'pepper', 'rosemary', 'eucalyptus'], 'Red Fruit': ['cherry', 'raspberry', 'strawberry', 'sour cherry'], 'Vegetal': ['hay', 'bell pepper', 'tomato', 'arugula'], 'Non Oak': ['toast', 'chestnut'], 'Microbio': ['cream', 'cheese'], 'Tree Fruit': ['apple', 'persimmon'], 'Floral': ['violet'], 'Citrus Fruit': ['orange peel'], 'Tropical Fruit': ['bubblegum'], 'Dried Fruit': ['prune']}",https://www.vivino.com/FR/en/feudi-del-pisciotto-cabernet-sauvignon/w/1242248?price_id=36282120&year=2018
Petruskellerei,Cabernet Riserva,Red wine,100% Cabernet Sauvignon,2020,Südtirol - Alto Adige,Italy,"Light - Bold: 64.19339000000001%, Smooth - Tannic: 41.735850000000006%, Dry - Sweet: 4.943399999999999%, Soft - Acidic: 17.5%",18.66,The taste profile of Petruskellerei Cabernet Riserva is based on 4 user reviews,"{'Spices': ['oregano', 'white pepper', 'aniseed'], 'Oak': ['cedar', 'oak'], 'Vegetal': ['red bell pepper']}",https://www.vivino.com/FR/en/petruskellerei-cabernet-riserva/w/3151326?price_id=34916244&year=2020
Lis Neris,Venezia Giulia Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,Venezia Giulia,Italy,"Light - Bold: 50.718395%, Smooth - Tannic: 35.908184999999996%, Dry - Sweet: 21.873974999999998%, Soft - Acidic: 36.2602825%",20.4,The taste profile of Lis Neris Venezia Giulia Cabernet Sauvignon is based on 405 user reviews,"{'Black Fruit': ['blackberry', 'blackcurrant', 'plum', 'cassis', 'black fruit', 'blackcurrant jam', 'dark fruit'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit'], 'Earth': ['earthy', 'smoke', 'minerals', 'mushroom', 'leather'], 'Oak': ['vanilla', 'oak', 'tobacco', 'cedar'], 'Spices': ['pepper', 'licorice'], 'Microbio': ['cheese'], 'Tropical Fruit': ['passion fruit', 'tropical'], 'Floral': ['perfume', 'violet'], 'Citrus Fruit': ['grapefruit', 'orange'], 'Non Oak': ['nutty'], 'Tree Fruit': ['apple']}",https://www.vivino.com/FR/en/lis-neris-venezia-giulia-cabernet-sauvignon/w/86230?price_id=31331309&year=2020
Heartland,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2020,Langhorne Creek,Australia,"Light - Bold: 68.163075%, Smooth - Tannic: 51.3303575%, Dry - Sweet: 10.672732499999999%, Soft - Acidic: 51.569467499999995%",19.25,The taste profile of Heartland Cabernet Sauvignon is based on 409 user reviews,"{'Black Fruit': ['blackberry', 'cassis', 'blackcurrant', 'black fruit', 'dark fruit', 'black cherry', 'plum', 'blueberry', 'black plum', 'blackcurrant jam', 'boysenberry', 'mulberry'], 'Oak': ['oak', 'vanilla', 'chocolate', 'tobacco', 'cedar', 'clove', 'cigar box', 'coffee', 'incense', 'cigar', 'allspice', 'baking spice', 'nutmeg'], 'Spices': ['mint', 'pepper', 'eucalyptus', 'licorice', 'cinnamon', 'white pepper', 'sage', 'dried herbs', 'rosemary', 'oregano', 'bay leaf', 'menthol', 'juniper', 'anise'], 'Red Fruit': ['cherry', 'raspberry', 'red fruit', 'cranberry', 'sour cherry', 'red plum', 'red cherry'], 'Earth': ['leather', 'earthy', 'cocoa', 'smoke', 'mushroom', 'graphite', 'grilled meat', 'tobacco leaf', 'citrus oil'], 'Microbio': ['cheese', 'cream', 'yeast', 'oil'], 'Vegetal': ['green bell pepper', 'grass', 'tomato', 'tomato leaf'], 'Dried Fruit': ['raisin', 'prune'], 'Non Oak': ['nutty', 'pecan'], 'Tree Fruit': ['peach', 'apple'], 'Tropical Fruit': ['bubblegum'], 'Citrus Fruit': ['citrus']}",https://www.vivino.com/FR/en/heartland-wines-pty-ltd-cabernet-sauvignon/w/2043?price_id=37585270&year=2020
Domaine de Chevalier,Rosé de Chevalier,Rosé wine,100% Cabernet Sauvignon,2022,Bordeaux,France,"Light - Bold: 44.05357000000001%, Dry - Sweet: 14.583930000000002%, Soft - Acidic: 73.916075%",18.8,The taste profile of Domaine de Chevalier Rosé de Chevalier is based on 119 user reviews,"{'Red Fruit': ['strawberry', 'cranberry', 'raspberry', 'watermelon', 'cherry', 'red fruit', 'wild strawberry', 'ripe strawberry', 'red currant', 'pomegranate', 'bing cherry'], 'Tree Fruit': ['peach', 'apple', 'melon', 'green apple', 'pear', 'stone fruit', 'nectarine', 'cantaloupe'], 'Citrus Fruit': ['citrus', 'grapefruit', 'orange peel', 'orange', 'lime', 'orange zest'], 'Earth': ['minerals', 'honey', 'stone', 'smoke'], 'Vegetal': ['rhubarb', 'tomato'], 'Oak': ['oak', 'cigar box'], 'Microbio': ['cream', 'oil', 'banana'], 'Black Fruit': ['cassis', 'blackcurrant', 'plum'], 'Spices': ['fennel', 'anise'], 'Tropical Fruit': ['tropical', 'mango'], 'Floral': ['honeysuckle', 'elderflower']}",https://www.vivino.com/FR/en/domaine-de-chevalier-rose-de-chevalier/w/1238950?price_id=35532171&year=2022
Navarro Correas,Colección Privada Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Uco Valley,Argentina,"Light - Bold: 60.6583275%, Smooth - Tannic: 51.033424999999994%, Dry - Sweet: 10.790939999999999%, Soft - Acidic: 44.011097500000005%",19.15,The taste profile of Navarro Correas Colección Privada Cabernet Sauvignon is based on 368 user reviews,"{'Black Fruit': ['blackberry', 'plum', 'black cherry', 'black fruit', 'dark fruit', 'blackcurrant', 'cassis', 'blueberry', 'ripe blackberry', 'black plum'], 'Oak': ['oak', 'vanilla', 'chocolate', 'cedar', 'clove', 'dark chocolate', 'tobacco', 'coffee', 'caramel', 'mocha'], 'Earth': ['leather', 'stone', 'minerals', 'earthy', 'mushroom', 'balsamic', 'cocoa', 'smoke', 'honey', 'salt'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'strawberry', 'red cherry'], 'Spices': ['pepper', 'eucalyptus', 'oregano', 'white pepper', 'anise', 'sage'], 'Tree Fruit': ['stone fruit', 'quince', 'green apple', 'apple'], 'Microbio': ['cheese'], 'Dried Fruit': ['fig', 'raisin'], 'Non Oak': ['molasses', 'marzipan'], 'Citrus Fruit': ['orange', 'citrus'], 'Vegetal': ['tomato', 'grass'], 'Floral': ['violet']}",https://www.vivino.com/FR/en/ar-navarro-correas-coleccion-privada-cabernet-sauvignon/w/1135346?price_id=36009698&year=2022
Livon,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Collio,Italy,"Light - Bold: 60.65616%, Smooth - Tannic: 43.145387500000005%, Dry - Sweet: 5.305385000000003%, Soft - Acidic: 35.0499925%",19.9,The taste profile of Livon Cabernet Sauvignon is based on 28 user reviews,"{'Black Fruit': ['dark fruit', 'mulberry', 'plum', 'cassis'], 'Red Fruit': ['cherry'], 'Earth': ['graphite'], 'Oak': ['oak']}",https://www.vivino.com/FR/en/livon-cabernet-sauvignon/w/92845?price_id=35480333&year=2021
Ricchi,Ribò Cabernet,Red wine,100% Cabernet Sauvignon,2021,Lombardia,Italy,"Light - Bold: 64.559575%, Smooth - Tannic: 37.26263%, Dry - Sweet: 20.489779999999996%, Soft - Acidic: 33.5541825%",20.38,The taste profile of Ricchi Ribò Cabernet is based on 184 user reviews,"{'Black Fruit': ['blackberry', 'blueberry', 'plum', 'blackcurrant', 'jam', 'dark fruit', 'black fruit', 'mulberry'], 'Oak': ['chocolate', 'vanilla', 'tobacco', 'oak', 'butter', 'caramel', 'coffee', 'cedar', 'dark chocolate'], 'Red Fruit': ['cherry', 'red fruit', 'strawberry', 'raspberry', 'red currant', 'red cherry'], 'Earth': ['leather', 'smoke', 'earthy', 'graphite', 'pencil lead'], 'Spices': ['cinnamon', 'pepper', 'green herbs', 'sage'], 'Dried Fruit': ['prune', 'raisin', 'dried blueberry', 'fig'], 'Microbio': ['cheese'], 'Citrus Fruit': ['grapefruit'], 'Vegetal': ['tomato']}",https://www.vivino.com/FR/en/ricchi-ribo-cabernet-lombardia/w/1377555?price_id=34375421&year=2021
Casal das Freiras,Reserva,Red wine,100% Cabernet Sauvignon,2021,Ribatejo,Portugal,"Light - Bold: 68.9764425%, Smooth - Tannic: 47.1346125%, Dry - Sweet: 4.4230775000000015%, Soft - Acidic: 49.9567375%",18.95,The taste profile of Casal das Freiras Reserva is based on 37 user reviews,"{'Earth': ['game', 'grilled meat'], 'Oak': ['oak'], 'Black Fruit': ['black fruit'], 'Red Fruit': ['red fruit'], 'Citrus Fruit': ['citrus']}",https://www.vivino.com/FR/en/casal-das-freiras-reserva/w/2408798?price_id=35950487&year=2021
Peppucci,Giovanni,Red wine,100% Cabernet Sauvignon,2016,Todi,Italy,"Light - Bold: 50.207935%, Smooth - Tannic: 32.046875%, Dry - Sweet: 3.974162500000002%, Soft - Acidic: 37.9374975%",19.18,The taste profile of Peppucci Giovanni is based on 29 user reviews,"{'Dried Fruit': ['dried fruit'], 'Spices': ['pepper'], 'Microbio': ['cheese'], 'Oak': ['butter']}",https://www.vivino.com/FR/en/peppucci-giovanni/w/1791540?price_id=34250703&year=2016
Ferdinand Matjaž Četrtič,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Goriška Brda,Slovenia,"Light - Bold: 58.125%, Smooth - Tannic: 67.5%, Dry - Sweet: 5%, Soft - Acidic: 80%",19.78,The taste profile of Ferdinand Matjaž Četrtič Cabernet Sauvignon is based on 13 user reviews,"{'Red Fruit': ['cherry', 'red fruit', 'raspberry'], 'Black Fruit': ['blackberry', 'cassis'], 'Oak': ['oak', 'tobacco'], 'Spices': ['pepper'], 'Floral': ['violet'], 'Vegetal': ['hay'], 'Microbio': ['cheese']}",https://www.vivino.com/FR/en/ferdinand-cabernet-sauvignon/w/4011840?price_id=37441498&year=2022
Penley Estate,Phoenix Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Coonawarra,Australia,"Light - Bold: 66.7825%, Smooth - Tannic: 59.8184%, Dry - Sweet: 4.505242500000001%, Soft - Acidic: 54.39528%",20.1,The taste profile of Penley Estate Phoenix Cabernet Sauvignon is based on 1790 user reviews,"{'Black Fruit': ['blackberry', 'plum', 'cassis', 'blackcurrant', 'black fruit', 'dark fruit', 'black cherry', 'blueberry', 'mulberry', 'black plum', 'black raspberry', 'jam', 'ripe blackberry', 'bramble', 'black olive', 'boysenberry', 'blackberry jam', 'roasted plum', 'berry jam', 'blackcurrant jam'], 'Oak': ['oak', 'chocolate', 'cedar', 'vanilla', 'tobacco', 'clove', 'dark chocolate', 'coffee', 'nutmeg', 'cigar box', 'cigar', 'mocha', 'espresso', 'baking spice', 'cola', 'dill', 'milk chocolate', 'butter', 'coconut', 'toffee', 'sandalwood', 'caramel', 'allspice'], 'Spices': ['pepper', 'mint', 'eucalyptus', 'licorice', 'menthol', 'cinnamon', 'savory', 'bay leaf', 'anise', 'white pepper', 'dried herbs', 'rosemary', 'sage', 'musk', 'jalapeno', 'green peppercorn', 'green herbs', 'tarragon', 'cracked pepper', 'red licorice', 'fennel', 'star anise'], 'Earth': ['leather', 'earthy', 'smoke', 'cocoa', 'graphite', 'mushroom', 'stone', 'forest floor', 'pencil shavings', 'minerals', 'game', 'tobacco leaf', 'iron', 'balsamic', 'salt', 'oolong tea', 'ash', 'pencil lead', 'barbecue meat', 'smoked meats', 'flint'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'red cherry', 'red currant', 'cranberry', 'strawberry', 'red plum', 'fruit punch', 'pomegranate', 'cherry cough syrup'], 'Vegetal': ['green bell pepper', 'bell pepper', 'tomato', 'grass', 'rhubarb', 'wheat grass', 'hay', 'red bell pepper'], 'Dried Fruit': ['prune', 'raisin', 'dried cranberry', 'black raisin', 'fig', 'dried blueberry', 'dried fruit'], 'Floral': ['violet', 'dried flowers', 'perfume', 'jasmine', 'lavender'], 'Microbio': ['cheese', 'oil', 'cream', 'yeast'], 'Non Oak': ['toast', 'nutty', 'almond', 'molasses', 'biscuit', 'spice cake'], 'Citrus Fruit': ['orange', 'citrus', 'lemon', 'marmalade', 'lime'], 'Tree Fruit': ['green apple', 'pear', 'quince', 'fresh grapes', 'apple'], 'Tropical Fruit': ['jackfruit']}",https://www.vivino.com/FR/en/penley-estate-phoenix-cabernet-sauvignon/w/1135366?price_id=35480202&year=2021
Domaine du Bois de Simon,Christophe Avi,Red wine,100% Cabernet Sauvignon,2018,South West France,France,"Light - Bold: 80%, Smooth - Tannic: 67.5%, Dry - Sweet: 5%, Soft - Acidic: 80%",20,,{},https://www.vivino.com/FR/en/domaine-du-bois-de-simon-christophe-avi/w/3691059?price_id=36248884&year=2018
Sansonina,Evaluna,Red wine,100% Cabernet Sauvignon,2019,Garda,Italy,"Light - Bold: 62.57894999999999%, Smooth - Tannic: 38.289944999999996%, Dry - Sweet: 12.198542499999999%, Soft - Acidic: 23.7161625%",19.44,The taste profile of Sansonina Evaluna is based on 158 user reviews,"{'Spices': ['pepper', 'licorice', 'mint', 'black licorice', 'white pepper', 'anise', 'cinnamon'], 'Black Fruit': ['blackberry', 'plum', 'black cherry', 'blackcurrant', 'dark fruit', 'cassis', 'black raspberry', 'black plum', 'blueberry', 'bramble'], 'Red Fruit': ['cherry', 'red fruit', 'raspberry', 'red currant', 'red plum'], 'Earth': ['leather', 'earthy', 'balsamic', 'smoke', 'cocoa', 'minerals', 'iron', 'salt', 'stone'], 'Oak': ['oak', 'baking spice', 'vanilla', 'brown butter', 'chocolate', 'tobacco', 'nutmeg', 'butter', 'cola'], 'Microbio': ['cheese'], 'Dried Fruit': ['prune', 'raisin'], 'Vegetal': ['tomato', 'bell pepper'], 'Tree Fruit': ['stone fruit']}",https://www.vivino.com/FR/en/sansonina-evaluna/w/4379455?price_id=29890973&year=2019
Montes,Montes Alpha Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2022,Colchagua Valley,Chile,"Light - Bold: 73.80356%, Smooth - Tannic: 50.150555000000004%, Dry - Sweet: 10.424522500000002%, Soft - Acidic: 43.450867499999994%",20.5,The taste profile of Montes Montes Alpha Cabernet Sauvignon is based on 7600 user reviews,"{'Oak': ['oak', 'vanilla', 'tobacco', 'chocolate', 'coffee', 'cedar', 'dark chocolate', 'cigar', 'toffee', 'cigar box', 'mocha', 'clove', 'caramel', 'baking spice', 'butter', 'sweet tobacco', 'coconut', 'nutmeg', 'cola', 'espresso', 'milk chocolate', 'butterscotch', 'pipe tobacco', 'baking chocolate', 'fudge', 'allspice', 'incense', 'dill', 'sandalwood'], 'Black Fruit': ['blackberry', 'blackcurrant', 'plum', 'cassis', 'black fruit', 'dark fruit', 'black cherry', 'blueberry', 'black plum', 'jam', 'bramble', 'black olive', 'ripe blackberry', 'blackcurrant jam', 'black raspberry', 'boysenberry', 'berry jam', 'bilberry', 'mulberry', 'olive tapenade', 'blackberry jam', 'sour plum'], 'Earth': ['leather', 'earthy', 'smoke', 'mushroom', 'graphite', 'cocoa', 'tar', 'minerals', 'forest floor', 'game', 'balsamic', 'pencil lead', 'ash', 'tobacco leaf', 'stone', 'honey', 'pencil shavings', 'petroleum', 'salt', 'charcoal', 'rubber', 'iron', 'grilled meat', 'dried leaves', 'flint', 'chalk', 'chewing tobacco', 'plastic', 'saline', 'new leather', 'tree bark', 'petrichor', 'fresh asphalt', 'cured meat', 'black truffle', 'truffle', 'underbrush', 'roasted meat', 'exotic spice'], 'Red Fruit': ['cherry', 'red fruit', 'strawberry', 'raspberry', 'red currant', 'cranberry', 'sour cherry', 'red cherry', 'ripe strawberry', 'cherry cola', 'red plum', 'fresh strawberry', 'pomegranate', 'cherry syrup', 'watermelon', 'dried strawberry'], 'Spices': ['pepper', 'mint', 'licorice', 'eucalyptus', 'cinnamon', 'menthol', 'savory', 'anise', 'black licorice', 'white pepper', 'rosemary', 'dried herbs', 'green herbs', 'thyme', 'bay leaf', 'sage', 'fennel', 'vanilla bean', 'juniper', 'star anise', 'juniper berry', 'musk', 'red licorice', 'coriander', 'oregano', 'green peppercorn', 'jalapeno', 'cracked pepper'], 'Vegetal': ['bell pepper', 'green bell pepper', 'grass', 'tomato', 'tomato leaf', 'rhubarb', 'gooseberry', 'asparagus', 'red bell pepper', 'chard', ""cat's pee"", 'hay', 'straw', 'bitter almond'], 'Microbio': ['cheese', 'cream', 'oil', 'bread yeast', 'banana', 'sweaty', 'yogurt', 'parmesan cheese'], 'Dried Fruit': ['prune', 'fig', 'dried fruit', 'raisin', 'dried blackberry'], 'Non Oak': ['toast', 'almond', 'molasses', 'nutty', 'brown sugar', 'marzipan', 'walnut', 'dried fig', 'chestnut', 'pecan', 'graham cracker', 'hazelnut'], 'Floral': ['violet', 'lavender', 'acacia', 'perfume', 'hibiscus', 'jasmine', 'dried flowers', 'rose petal', 'lilac'], 'Citrus Fruit': ['lemon', 'citrus', 'orange', 'orange zest', 'marmalade', 'grapefruit', 'orange peel'], 'Tree Fruit': ['quince', 'apple', 'peach', 'stone fruit', 'apricot', 'green apple', 'cantaloupe', 'melon', 'pear'], 'Tropical Fruit': ['pineapple', 'guava', 'tamarind', 'mango', 'passion fruit', 'lychee']}",https://www.vivino.com/FR/en/montes-montes-alpha-cabernet-sauvignon/w/71294?price_id=36202379&year=2022
Francesco Poli,Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2018,Trentino-Alto Adige,Italy,"Light - Bold: 66.66792%, Smooth - Tannic: 26.06875%, Dry - Sweet: 23.100749999999998%, Soft - Acidic: 25.643657500000003%",20.39,The taste profile of Francesco Poli Cabernet Sauvignon is based on 12 user reviews,"{'Red Fruit': ['red fruit', 'cherry', 'cherry cough syrup', 'bing cherry', 'cherry cola'], 'Oak': ['cola', 'tobacco'], 'Non Oak': ['almond'], 'Dried Fruit': ['black raisin'], 'Vegetal': ['asparagus']}",https://www.vivino.com/FR/en/francesco-poli-s-massenza-cabernet-sauvignon/w/2727509?price_id=37407085&year=2018
Jordan Wines,The Long Fuse Cabernet Sauvignon,Red wine,100% Cabernet Sauvignon,2021,Stellenbosch,South Africa,"Light - Bold: 74.11484999999999%, Smooth - Tannic: 62.50557499999999%, Dry - Sweet: 7.5225575%, Soft - Acidic: 57.833225%",20.5,The taste profile of Jordan Wines The Long Fuse Cabernet Sauvignon is based on 683 user reviews,"{'Black Fruit': ['cassis', 'blackberry', 'blackcurrant', 'plum', 'dark fruit', 'black fruit', 'blueberry', 'black cherry', 'bramble', 'ripe blackberry', 'black plum'], 'Oak': ['oak', 'vanilla', 'cigar box', 'tobacco', 'cedar', 'chocolate', 'cigar', 'clove', 'mocha', 'coffee', 'dark chocolate', 'caramel', 'nutmeg', 'baking spice'], 'Earth': ['leather', 'earthy', 'smoke', 'pencil shavings', 'tobacco leaf', 'minerals', 'game', 'mushroom', 'graphite', 'forest floor', 'charcoal', 'cocoa', 'tar', 'cured meat'], 'Spices': ['savory', 'eucalyptus', 'pepper', 'mint', 'cinnamon', 'dried herbs'], 'Red Fruit': ['red fruit', 'cherry', 'strawberry', 'red currant', 'morello cherry', 'raspberry', 'red cherry'], 'Dried Fruit': ['prune', 'raisin', 'fruitcake', 'dried fruit'], 'Floral': ['violet', 'dried rose', 'lavender'], 'Microbio': ['cream', 'sweaty', 'cheese'], 'Non Oak': ['almond', 'toast'], 'Vegetal': ['hay'], 'Tree Fruit': ['apricot']}",https://www.vivino.com/FR/en/jordan-wines-the-long-fuse-cabernet-sauvignon-stellenbosch/w/5362295?price_id=35621207&year=2021
Girlan,Doss Cabernet Sauvignon Riserva,Red wine,100% Cabernet Sauvignon,2021,Südtirol - Alto Adige,Italy,"Light - Bold: 66.2202825%, Smooth - Tannic: 43.885355%, Dry - Sweet: 13.836907500000002%, Soft - Acidic: 38.737922499999996%",19.3,The taste profile of Girlan Doss Cabernet Sauvignon Riserva is based on 144 user reviews,"{'Oak': ['tobacco', 'oak', 'vanilla', 'cedar', 'clove', 'chocolate', 'dark chocolate', 'coffee'], 'Earth': ['leather', 'balsamic', 'cocoa', 'smoke', 'game', 'plastic'], 'Red Fruit': ['cherry', 'red currant', 'strawberry', 'raspberry', 'red fruit'], 'Black Fruit': ['blackcurrant', 'blueberry', 'blackberry', 'cassis'], 'Spices': ['pepper', 'oregano', 'anise'], 'Vegetal': ['rhubarb']}",https://www.vivino.com/FR/en/girlan-doss-cabernet-sauvignon-riserva/w/2302333?price_id=36375395&year=2021
Peppucci,Giovanni,Red wine,100% Cabernet Sauvignon,2018,Todi,Italy,"Light - Bold: 50.207935%, Smooth - Tannic: 32.046875%, Dry - Sweet: 3.974162500000002%, Soft - Acidic: 37.9374975%",19.18,The taste profile of Peppucci Giovanni is based on 29 user reviews,"{'Dried Fruit': ['dried fruit'], 'Spices': ['pepper'], 'Microbio': ['cheese'], 'Oak': ['butter']}",https://www.vivino.com/FR/en/peppucci-giovanni/w/1791540?price_id=37046005&year=2018
Carus Vini,Robeo Cabernet,Red wine,100% Cabernet Sauvignon,2019,Toscana,Italy,"Light - Bold: 53.3357675%, Smooth - Tannic: 44.32482%, Dry - Sweet: 0.5364975000000012%, Soft - Acidic: 45.93065%",20.3,The taste profile of Carus Vini Robeo Cabernet is based on 10 user reviews,"{'Red Fruit': ['strawberry', 'cherry'], 'Earth': ['earthy']}",https://www.vivino.com/FR/en/vini-carus-robeo-cabernet/w/2199268?price_id=37646708&year=2019
